step_index,solve_time_s
0,0.002280057
1,0.001430263
2,0.000993831
3,0.000679166
4,0.000761881
5,0.000656868
6,0.000639001
7,0.000797841
8,0.000658798
9,0.000651576
10,0.000749015
11,0.000654936
12,0.000626126
13,0.000742506
14,0.000638561
15,0.000623941
16,0.000706380
17,0.000641102
18,0.000616075
19,0.000720901
20,0.000623991
21,0.000622031
22,0.000712245
23,0.000626237
24,0.000610287
25,0.000712220
26,0.000624386
27,0.000610699
28,0.000743471
29,0.000627454
30,0.000622571
31,0.000699554
32,0.000633621
33,0.000598233
34,0.000698500
35,0.000623957
36,0.000598808
37,0.000693072
38,0.000609341
39,0.000588470
40,0.000691869
41,0.000614915
42,0.000593446
43,0.000691200
44,0.000606115
45,0.000594770
46,0.000716448
47,0.000627390
48,0.000599223
49,0.000704047
50,0.000611484
51,0.000589399
52,0.000695401
53,0.000612221
54,0.000594010
55,0.000703867
56,0.000624397
57,0.000594259
58,0.000676262
59,0.000607234
60,0.000580842
61,0.000676322
62,0.000595184
63,0.000580877
64,0.000705686
65,0.000607624
66,0.000577056
67,0.000710777
68,0.000602037
69,0.000578373
70,0.000676227
71,0.000601314
72,0.000582861
73,0.000695933
74,0.000597253
75,0.000590523
76,0.000681410
77,0.000600214
78,0.000581156
79,0.000694176
80,0.000614532
81,0.000581566
82,0.000696573
83,0.000598105
84,0.000572031
85,0.000670592
86,0.000589869
87,0.000566320
88,0.000659198
89,0.000584415
90,0.000566444
91,0.000682042
92,0.000586798
93,0.000573952
94,0.000681388
95,0.000582113
96,0.000562295
97,0.000660734
98,0.000612699
99,0.000570024
100,0.000668457
101,0.000592381
102,0.000574478
103,0.000695448
104,0.000582552
105,0.000571990
106,0.000676702
107,0.000594466
108,0.000563755
109,0.000660907
110,0.000584008
111,0.000566079
112,0.000708485
113,0.000592990
114,0.000573703
115,0.000655915
116,0.000604411
117,0.000562688
118,0.000664411
119,0.000575979
120,0.000564389
121,0.000677152
122,0.000586111
123,0.000564078
124,0.000687364
125,0.000579734
126,0.000567843
127,0.000683738
128,0.000597163
129,0.000567167
130,0.000662957
131,0.000584400
132,0.000563503
133,0.000675701
134,0.000582030
135,0.000566106
136,0.000689875
137,0.000580715
138,0.000579551
139,0.000648289
140,0.000564414
141,0.000563788
142,0.000671981
143,0.000580419
144,0.000555794
145,0.000652717
146,0.000570933
147,0.000567900
148,0.000687531
149,0.000565544
150,0.000561633
151,0.000650171
152,0.000568102
153,0.000547402
154,0.000645566
155,0.000572805
156,0.000558320
157,0.000679926
158,0.000571323
159,0.000557810
160,0.000666398
161,0.000578680
162,0.000555364
163,0.000655883
164,0.000561011
165,0.000551760
166,0.000669721
167,0.000575529
168,0.000561363
169,0.000653839
170,0.000568770
171,0.000578895
172,0.000665833
173,0.000568777
174,0.000548053
175,0.000650498
176,0.000561965
177,0.000548198
178,0.000673985
179,0.000579611
180,0.000555773
181,0.000653424
182,0.000580497
183,0.000550793
184,0.000672145
185,0.000574797
186,0.000552309
187,0.000676234
188,0.000565526
189,0.000560499
190,0.000656540
191,0.000577557
192,0.000554362
193,0.000634226
194,0.000569645
195,0.000550241
196,0.000650061
197,0.000565610
198,0.000552146
199,0.000681607
200,0.000570171
201,0.000563578
202,0.000666793
203,0.000572131
204,0.000550578
205,0.000662531
206,0.000565184
207,0.000550983
208,0.000640583
209,0.000581155
210,0.000548898
211,0.000657793
212,0.000574191
213,0.000555027
214,0.000661370
215,0.000562501
216,0.000551818
217,0.000663311
218,0.000567311
219,0.000545766
220,0.000649200
221,0.000570061
222,0.000545800
223,0.000652004
224,0.000572361
225,0.000550353
226,0.000651075
227,0.000578299
228,0.000551644
229,0.000651667
230,0.000572983
231,0.000557083
232,0.000649019
233,0.000573422
234,0.000554484
235,0.000660002
236,0.000567744
237,0.000555373
238,0.000656540
239,0.000567737
240,0.000549556
241,0.000661973
242,0.000568819
243,0.000548911
244,0.000642941
245,0.000565631
246,0.000567718
247,0.000645600
248,0.000560069
249,0.000546241
250,0.000649940
251,0.000568079
252,0.000548386
253,0.000670293
254,0.000566707
255,0.000549888
256,0.000664648
257,0.000575668
258,0.000561656
259,0.000642976
260,0.000570003
261,0.000550287
262,0.000646607
263,0.000569936
264,0.000554224
265,0.000665135
266,0.000560876
267,0.000564630
268,0.000661502
269,0.000569906
270,0.000546344
271,0.000668514
272,0.000576247
273,0.000567629
274,0.000664438
275,0.000564818
276,0.000574100
277,0.000645703
278,0.000563938
279,0.000545826
280,0.000647493
281,0.000567308
282,0.000554955
283,0.000646717
284,0.000562340
285,0.000551018
286,0.000655384
287,0.000561686
288,0.000551618
289,0.000653485
290,0.000562237
291,0.000546436
292,0.000648515
293,0.000769278
294,0.000590652
295,0.000730642
296,0.000579829
297,0.000565609
298,0.000686450
299,0.000573017
300,0.000584303
301,0.000717171
302,0.000626440
303,0.000564454
304,0.000727164
305,0.000598819
306,0.000553921
307,0.000657898
308,0.000573714
309,0.000570823
310,0.000681823
311,0.000608953
312,0.000562149
313,0.000670071
314,0.000588391
315,0.000610738
316,0.000668769
317,0.000574925
318,0.000560927
319,0.000639132
320,0.000563674
321,0.000549127
322,0.000691914
323,0.000632704
324,0.000556664
325,0.000692918
326,0.000569625
327,0.000567848
328,0.000680505
329,0.000561347
330,0.000553093
331,0.000665063
332,0.000580611
333,0.000552320
334,0.000676068
335,0.000572896
336,0.000554402
337,0.000687814
338,0.000586825
339,0.000592217
340,0.000679114
341,0.000570368
342,0.000552459
343,0.000647566
344,0.000583101
345,0.000554355
346,0.000641150
347,0.000564861
348,0.000561784
349,0.000654059
350,0.000565179
351,0.000545280
352,0.000662807
353,0.000563973
354,0.000552221
355,0.000659061
356,0.000569344
357,0.000554439
358,0.000650619
359,0.000565235
360,0.000570855
361,0.000668450
362,0.000575457
363,0.000553540
364,0.000642372
365,0.000568498
366,0.000552626
367,0.000677859
368,0.000564859
369,0.000562797
370,0.000640835
371,0.000563923
372,0.000546837
373,0.000648870
374,0.000563444
375,0.000546871
376,0.000641131
377,0.000563058
378,0.000550540
379,0.000647661
380,0.000564726
381,0.000549649
382,0.000666714
383,0.000573642
384,0.000549343
385,0.000659570
386,0.000577663
387,0.000562670
388,0.000646260
389,0.000561476
390,0.000559377
391,0.000641197
392,0.000568187
393,0.000549023
394,0.000652603
395,0.000566293
396,0.000549823
397,0.000647507
398,0.000573595
399,0.000561939
400,0.000646166
401,0.000569445
402,0.000547799
403,0.000644522
404,0.000571665
405,0.000558315
406,0.000657300
407,0.000565617
408,0.000552614
409,0.000654203
410,0.000572357
411,0.000542874
412,0.000631350
413,0.000556793
414,0.000541112
415,0.000638500
416,0.000562620
417,0.000537115
418,0.000632068
419,0.000553892
420,0.000541594
421,0.000653162
422,0.000556204
423,0.000541048
424,0.000620906
425,0.000550659
426,0.000536168
427,0.000631829
428,0.000554809
429,0.000539109
430,0.000635906
431,0.000566334
432,0.000544659
433,0.000648652
434,0.000555725
435,0.000537327
436,0.000681851
437,0.000567412
438,0.000550568
439,0.000654242
440,0.000562229
441,0.000560735
442,0.000678065
443,0.000567241
444,0.000544886
445,0.000647259
446,0.000565477
447,0.000553084
448,0.000651747
449,0.000565878
450,0.000551612
451,0.000659829
452,0.000565741
453,0.000552012
454,0.000646506
455,0.000569148
456,0.000569799
457,0.000657005
458,0.000565801
459,0.000550429
460,0.000676479
461,0.000568347
462,0.000565849
463,0.000645642
464,0.000570068
465,0.000549216
466,0.000671439
467,0.000581992
468,0.000558249
469,0.000693037
470,0.000591829
471,0.000553394
472,0.000682607
473,0.000571262
474,0.000556577
475,0.000701200
476,0.000579720
477,0.000553544
478,0.000684719
479,0.000582992
480,0.000570758
481,0.000712207
482,0.000581836
483,0.000576716
484,0.000701115
485,0.000586302
486,0.000578152
487,0.000690852
488,0.000582705
489,0.000581957
490,0.000733232
491,0.000608312
492,0.000589723
493,0.000727799
494,0.000597989
495,0.000591450
496,0.000755831
497,0.000625135
498,0.000619633
499,0.000741274
500,0.000631018
501,0.000626332
502,0.000736963
503,0.000628365
504,0.000625132
505,0.000745901
506,0.000625595
507,0.000610562
508,0.000749935
509,0.000636720
510,0.000610558
511,0.000737440
512,0.000631128
513,0.000613882
514,0.000755949
515,0.000632026
516,0.000613334
517,0.000758623
518,0.000644520
519,0.000616152
520,0.000760979
521,0.000626623
522,0.000633160
523,0.000760443
524,0.000639313
525,0.000628920
526,0.000793181
527,0.000663870
528,0.000634313
529,0.000794900
530,0.000647353
531,0.000644147
532,0.000772540
533,0.000643011
534,0.000637387
535,0.000751264
536,0.000647925
537,0.000628320
538,0.000760268
539,0.000657299
540,0.000626655
541,0.000753621
542,0.000644815
543,0.000626624
544,0.000755992
545,0.000647324
546,0.000635530
547,0.000803244
548,0.000647459
549,0.000624229
550,0.000786409
551,0.000652101
552,0.000625908
553,0.000754344
554,0.000655134
555,0.000627514
556,0.000766771
557,0.000647691
558,0.000627021
559,0.000764212
560,0.000639438
561,0.000624641
562,0.000813637
563,0.000672695
564,0.000645183
565,0.000797289
566,0.000671959
567,0.000644963
568,0.000795865
569,0.000669711
570,0.000640027
571,0.000789413
572,0.000668143
573,0.000646773
574,0.000796228
575,0.000674738
576,0.000640920
577,0.000813993
578,0.000680088
579,0.000649493
580,0.000787974
581,0.000655439
582,0.000625935
583,0.000749582
584,0.000643620
585,0.000622728
586,0.000765433
587,0.000651253
588,0.000628622
589,0.000757779
590,0.000649965
591,0.000620496
592,0.000766402
593,0.000650882
594,0.000636004
595,0.000754955
596,0.000645826
597,0.000624135
598,0.000758747
599,0.000644170
600,0.000649880
601,0.000775651
602,0.000646488
603,0.000621761
604,0.000731326
605,0.000640171
606,0.000630727
607,0.000765790
608,0.000637352
609,0.000605374
610,0.000741642
611,0.000631540
612,0.000606232
613,0.000720172
614,0.000621343
615,0.000617571
616,0.000732521
617,0.000625446
618,0.000617079
619,0.000738178
620,0.000624565
621,0.000611363
622,0.000752664
623,0.000638779
624,0.000614795
625,0.000737542
626,0.000623803
627,0.000605611
628,0.000765508
629,0.000635520
630,0.000611421
631,0.000733560
632,0.000627841
633,0.000606374
634,0.000754519
635,0.000639333
636,0.000619046
637,0.000747502
638,0.000629322
639,0.000607949
640,0.000736340
641,0.000636402
642,0.000649773
643,0.000767485
644,0.000654783
645,0.000621830
646,0.000742441
647,0.000638119
648,0.000612747
649,0.000761603
650,0.000630060
651,0.000628462
652,0.000746004
653,0.000643583
654,0.000609739
655,0.000753174
656,0.000631880
657,0.000610345
658,0.000739884
659,0.000628548
660,0.000613729
661,0.000748554
662,0.000628447
663,0.000608854
664,0.000776571
665,0.000643723
666,0.000611093
667,0.000749442
668,0.000636443
669,0.000615773
670,0.000748864
671,0.000636871
672,0.000612060
673,0.000746577
674,0.000640568
675,0.000606045
676,0.000741636
677,0.000631914
678,0.000616188
679,0.000735853
680,0.000621617
681,0.000614885
682,0.000732876
683,0.000629197
684,0.000609115
685,0.000735864
686,0.000640299
687,0.000608918
688,0.000743339
689,0.000630446
690,0.000617795
691,0.000743656
692,0.000638912
693,0.000613756
694,0.000750952
695,0.000626374
696,0.000633504
697,0.000742670
698,0.000625969
699,0.000604318
700,0.000725304
701,0.000624843
702,0.000607948
703,0.000750845
704,0.000623260
705,0.000646541
706,0.000758786
707,0.000628266
708,0.000604839
709,0.000756091
710,0.000629712
711,0.000617476
712,0.000769712
713,0.000630105
714,0.000624158
715,0.000755447
716,0.000650623
717,0.000626644
718,0.000756167
719,0.000624325
720,0.000604204
721,0.000748451
722,0.000627628
723,0.000605280
724,0.000737093
725,0.000629454
726,0.000609406
727,0.000703659
728,0.000617528
729,0.000596547
730,0.000730168
731,0.000614284
732,0.000613228
733,0.000749038
734,0.000630311
735,0.000609976
736,0.000727907
737,0.000616827
738,0.000593573
739,0.000746623
740,0.000625829
741,0.000630619
742,0.000735344
743,0.000629809
744,0.000607881
745,0.000768281
746,0.000639841
747,0.000617016
748,0.000750562
749,0.000623919
750,0.000596148
751,0.000754368
752,0.000608733
753,0.000593807
754,0.000738631
755,0.000612098
756,0.000600819
757,0.000767737
758,0.000626036
759,0.000600568
760,0.000764198
761,0.000627293
762,0.000614323
763,0.000779300
764,0.000638960
765,0.000614985
766,0.000770114
767,0.000635047
768,0.000612877
769,0.000754468
770,0.000655140
771,0.000624923
772,0.000747682
773,0.000630234
774,0.000614474
775,0.000748559
776,0.000627625
777,0.000605983
778,0.000742103
779,0.000628426
780,0.000607622
781,0.000758278
782,0.000649686
783,0.000613000
784,0.000758459
785,0.000641324
786,0.000616130
787,0.000741625
788,0.000626465
789,0.000607702
790,0.000716814
791,0.000632868
792,0.000610278
793,0.000743060
794,0.000627862
795,0.000604768
796,0.000742742
797,0.000644469
798,0.000618600
799,0.000769998
800,0.000636396
801,0.000617493
802,0.000763602
803,0.000665604
804,0.000613935
805,0.000736060
806,0.000625508
807,0.000622276
808,0.000751443
809,0.000628946
810,0.000604782
811,0.000750397
812,0.000644499
813,0.000614872
814,0.000714599
815,0.000615666
816,0.000596479
817,0.000699695
818,0.000623777
819,0.000596650
820,0.000687238
821,0.000616519
822,0.000597987
823,0.000696092
824,0.000611811
825,0.000590529
826,0.000715178
827,0.000607995
828,0.000589690
829,0.000674844
830,0.000596993
831,0.000586884
832,0.000691600
833,0.000600771
834,0.000577211
835,0.000666765
836,0.000593341
837,0.000574630
838,0.000685675
839,0.000604639
840,0.000586038
841,0.000681655
842,0.000593438
843,0.000587988
844,0.000675543
845,0.000592971
846,0.000580209
847,0.000705958
848,0.000590782
849,0.000603240
850,0.000702898
851,0.000589446
852,0.000567364
853,0.000677243
854,0.000584360
855,0.000560062
856,0.000675962
857,0.000594267
858,0.000571403
859,0.000655965
860,0.000577453
861,0.000574568
862,0.000683759
863,0.000582161
864,0.000565347
865,0.000674952
866,0.000580251
867,0.000563569
868,0.000673416
869,0.000591335
870,0.000571776
871,0.000674187
872,0.000585466
873,0.000579962
874,0.000670048
875,0.000576913
876,0.000567403
877,0.000677647
878,0.000581347
879,0.000563222
880,0.000700136
881,0.000580951
882,0.000560822
883,0.000681077
884,0.000582598
885,0.000566476
886,0.000667996
887,0.000584983
888,0.000572395
889,0.000669251
890,0.000583680
891,0.000568399
892,0.000691594
893,0.000586656
894,0.000563562
895,0.000691505
896,0.000585033
897,0.000567717
898,0.000671816
899,0.000579648
900,0.000567365
901,0.000665402
902,0.000587565
903,0.000566723
904,0.000668449
905,0.000592714
906,0.000564719
907,0.000661562
908,0.000578925
909,0.000566507
910,0.000656902
911,0.000581611
912,0.000567202
913,0.000702624
914,0.000574937
915,0.000565400
916,0.000685334
917,0.000581966
918,0.000560387
919,0.000672325
920,0.000583541
921,0.000561932
922,0.000646094
923,0.000578605
924,0.000562102
925,0.000684506
926,0.000578320
927,0.000562691
928,0.000660470
929,0.000571958
930,0.000550294
931,0.000678439
932,0.000570640
933,0.000552764
934,0.000688016
935,0.000580883
936,0.000566230
937,0.000724869
938,0.000581778
939,0.000561659
940,0.000666866
941,0.000588372
942,0.000618839
943,0.000706313
944,0.000583039
945,0.000560712
946,0.000666791
947,0.000580260
948,0.000567997
949,0.000687488
950,0.000581417
951,0.000557522
952,0.000646680
953,0.000564090
954,0.000561203
955,0.000680449
956,0.000565385
957,0.000558339
958,0.000668378
959,0.000564688
960,0.000562256
961,0.000640668
962,0.000571557
963,0.000555508
964,0.000656061
965,0.000551496
966,0.000555362
967,0.000633818
968,0.000546811
969,0.000539521
970,0.000658488
971,0.000554705
972,0.000540602
973,0.000619906
974,0.000555829
975,0.000562980
976,0.000659435
977,0.000559910
978,0.000539563
979,0.000635833
980,0.000549055
981,0.000540014
982,0.000677754
983,0.000536676
984,0.000525209
985,0.000620210
986,0.000546224
987,0.000537061
988,0.000627825
989,0.000552211
990,0.000550187
991,0.000676887
992,0.000549835
993,0.000527790
994,0.000635892
995,0.000539261
996,0.000523584
997,0.000629284
998,0.000549795
999,0.000531079
